Price,Cells,Capacity (mAh),Dollars per Wh,Link
$21.06,3,3300,0.57494,http://www.hobbyking.com/hobbyking/store/__9465__Turnigy_3300mAh_3S_20C_Lipo_Pack.html
$44.69,5,4200,0.57516,http://www.hobbyking.com/hobbyking/store/__40046__ZIPPY_Compact_4200mAh_5S_25C_Lipo_Pack.html
$63.99,6,5000,0.57649,http://www.hobbyking.com/hobbyking/store/__9518__Turnigy_5000mAh_6S_30C_Lipo_Pack.html
$15.38,4,1800,0.57733,http://www.hobbyking.com/hobbyking/store/__21344__ZIPPY_Compact_1800mAh_4S_25C_Lipo_Pack.html
$34.61,6,2700,0.57741,http://www.hobbyking.com/hobbyking/store/__21353__ZIPPY_Compact_2700mAh_6S_25C_Long_Lipo_Pack.html
$11.54,3,1800,0.57758,http://www.hobbyking.com/hobbyking/store/__21343__ZIPPY_Compact_1800mAh_3S_25C_Lipo_Pack.html
$11.57,2,2700,0.57908,http://www.hobbyking.com/hobbyking/store/__21348__ZIPPY_Compact_2700mAh_2S_25C_Lipo_Pack.html
$63.49,8,3700,0.57971,http://www.hobbyking.com/hobbyking/store/__21417__ZIPPY_Compact_3700mAh_8S_35C_Lipo_Pack.html
$6.45,3,1000,0.58108,http://www.hobbyking.com/hobbyking/store/__21389__ZIPPY_Compact_1000mAh_3S_35C_Lipo_Pack.html
$6.67,2,1550,0.58152,http://www.hobbyking.com/hobbyking/store/__7316__Rhino_1550mAh_2S_7_4v_20C_Lipoly_Pack_.html
$99.99,8,5800,0.58242,http://www.hobbyking.com/hobbyking/store/__10895__Turnigy_5800mAh_8S_25C_Long_Lipo_Pack.html
$34.29,6,2650,0.58287,http://www.hobbyking.com/hobbyking/store/__9268__Turnigy_2650mAh_6S_30C_Lipo_Pack.html
$9.51,2,2200,0.58415,http://www.hobbyking.com/hobbyking/store/__8933__Turnigy_2200mAh_2S_20C_Lipo_Pack.html
$25.95,3,4000,0.58446,http://www.hobbyking.com/hobbyking/store/__9185__Turnigy_4000mAh_3S_20C_Lipo_Pack.html
$28.59,4,3300,0.58538,http://www.hobbyking.com/hobbyking/store/__9464__Turnigy_3300mAh_4S_20C_Lipo_Pack.html
$19.50,4,2250,0.58559,http://www.hobbyking.com/hobbyking/store/__9611__Rhino_2250mAh_4S_14_8v_40C_Lipoly_Pack_.html
$11.57,2,2650,0.59001,http://www.hobbyking.com/hobbyking/store/__9367__Turnigy_2650mAh_2S_30C_Lipo_Pack.html
$13.78,3,2100,0.59116,http://www.hobbyking.com/hobbyking/store/__12613__Zippy_Flightmax_2100mAh_3S_35C_Lipo_Pack.html
$26.25,3,4000,0.59122,http://www.hobbyking.com/hobbyking/store/__9510__Turnigy_4000mAh_3S_30C_Lipo_Pack.html
$43.33,6,3300,0.59146,http://www.hobbyking.com/hobbyking/store/__21406__ZIPPY_Compact_3300mAh_6S_35C_Lipo_Pack_.html
$17.42,3,2650,0.59221,http://www.hobbyking.com/hobbyking/store/__11915__Turnigy_nano_tech_2650mah_3S_25_50C_Lipo_Pack.html
$14.47,2,3300,0.59255,http://www.hobbyking.com/hobbyking/store/__21402__ZIPPY_Compact_3300mAh_2S_35C_Lipo_Pack.html
$54.95,5,5000,0.59405,http://www.hobbyking.com/hobbyking/store/__9517__Turnigy_5000mAh_5S_30C_Lipo_Pack.html
$128.05,10,5800,0.59669,http://www.hobbyking.com/hobbyking/store/__21387__ZIPPY_Compact_5800mAh_10S_25C_Lipo_Pack.html
$64.05,5,5800,0.59692,http://www.hobbyking.com/hobbyking/store/__21382__ZIPPY_Compact_5800mAh_5S_25C_Lipo_Pack_.html
$32.49,6,2450,0.59735,http://www.hobbyking.com/hobbyking/store/__25517__ZIPPY_Compact_2450mAh_6S_35C_Lipo_Pack.html
$13.72,4,1550,0.59808,http://www.hobbyking.com/hobbyking/store/__7315__Rhino_1550mAh_4S_14_8v_20C_Lipoly_Pack.html
$35.92,6,2700,0.59927,http://www.hobbyking.com/hobbyking/store/__21399__ZIPPY_Compact_2700mAh_6S_35C_Lipo_Pack.html
$29.94,5,2700,0.5994,http://www.hobbyking.com/hobbyking/store/__21398__ZIPPY_Compact_2700mAh_5S_35C_Lipo_Pack.html
$23.96,4,2700,0.5996,http://www.hobbyking.com/hobbyking/store/__21397__ZIPPY_Compact_2700mAh_4S_35C_Lipo_Pack.html
$39.99,4,4500,0.60045,http://www.hobbyking.com/hobbyking/store/__21003__Turnigy_4500mAh_4S_30C_hardcase_pack_ROAR_APPROVED_.html
$99.99,10,4500,0.60054,http://www.hobbyking.com/hobbyking/store/__14608__Turnigy_nano_tech_4500mah_10S_25_50C_Lipo_Pack.html
$77.61,6,5800,0.60275,http://www.hobbyking.com/hobbyking/store/__10288__Turnigy_5800mAh_6S_25C_Lipo_Pack.html
$51.74,4,5800,0.60275,http://www.hobbyking.com/hobbyking/store/__10287__Turnigy_5800mAh_4S_25C_Lipo_Pack.html
$19.64,4,2200,0.60319,http://www.hobbyking.com/hobbyking/store/__21394__ZIPPY_Compact_2200mAh_4S_35C_Lipo_Pack.html
$19.65,4,2200,0.6035,http://www.hobbyking.com/hobbyking/store/__11912__Turnigy_nano_tech_2200mah_4S_25_50C_Lipo_Pack.html
$16.11,4,1800,0.60473,http://www.hobbyking.com/hobbyking/store/__11909__Turnigy_nano_tech_1800mah_4S_25_50C_Lipo_Pack.html
$14.77,2,3300,0.60483,http://www.hobbyking.com/hobbyking/store/__11922__Turnigy_nano_tech_3300mah_2S_25_50C_Lipo_Pack.html
